#       RunID                dt_mlt_in                    r_ice                    r_pnd                    r_snw             rsnw_melt_in                     ksno                   mu_rdg    NHEXTEJAN           NHEXTEFEB           NHEXTEMAR           NHEXTEAPR           NHEXTEMAY           NHEXTEJUN           NHEXTEJUL           NHEXTEAUG           NHEXTESEP           NHEXTEOCT           NHEXTENOV           NHEXTEDEC           NHAREAJAN           NHAREAFEB           NHAREAMAR           NHAREAAPR           NHAREAMAY           NHAREAJUN           NHAREAJUL           NHAREAAUG           NHAREASEP           NHAREAOCT           NHAREANOV           NHAREADEC           SHEXTEJAN           SHEXTEFEB           SHEXTEMAR           SHEXTEAPR           SHEXTEMAY           SHEXTEJUN           SHEXTEJUL           SHEXTEAUG           SHEXTESEP           SHEXTEOCT           SHEXTENOV           SHEXTEDEC           SHAREAJAN           SHAREAFEB           SHAREAMAR           SHAREAAPR           SHAREAMAY           SHAREAJUN           SHAREAJUL           SHAREAAUG           SHAREASEP           SHAREAOCT           SHAREANOV           SHAREADEC       
           10   9.2868265464037114e-01   2.4599255946398310e-01   2.2337719005133419e-01   5.7957731230583572e-02   2.2036032618156499e-02   7.5572805094998330e-01   3.1698629722398308e-01    14.8345777906       15.772903145        16.0199918811       15.2953740044       13.6765430311       11.7314075954       9.18294955303       6.43566483412       5.13803042933       7.59678168127       10.4804592371       13.162297777        13.8725998487       14.8078906574       14.8231233351       13.6925058284       11.6265180692       9.35633279736       6.61532963893       4.24481141142       3.5786879792        6.08588575932       9.43776916816       11.8540373794       4.69266302314       2.56515521586       2.74059813677       5.40123477263       8.31021407619       10.7448236836       12.7571521929       14.2667820802       15.0827925233       14.9103152535       13.5557634618       9.85010949124       2.61888488219       1.43782001545       1.69420183326       4.10100364316       6.8521575019        9.12078318322       10.8281089084       12.0461290251       12.5760061278       11.7384107812       9.38522008954       5.68854654108   
           11   3.1173083993739309e-01   8.4962431657726745e-01   6.4951612471403286e-01   2.4997062299267520e-01   4.6182890019179978e-01   2.5669123246667108e-01   4.1361578878547461e-01    14.6121509744       15.5961905251       15.8550662104       15.1608661159       13.3023667734       10.8894912575       7.77581024732       4.66991148069       3.26846752451       6.42793209708       9.88834415518       12.6834961241       13.5989529781       14.6409965846       14.6862527107       13.4698799479       11.0857370096       8.45480336458       5.17103679491       2.55187117089       1.83294080558       4.65842282536       8.69942863637       11.3894724076       2.43192719099       1.14067408515       1.35190795762       3.64926574221       6.18738659953       8.78950628462       10.9674865121       12.6627608136       13.4775661632       13.1938288342       10.9223688011       5.96639103802       1.19010580213       0.527123095627      0.697974344263      2.5635929267        4.88015255837       7.26767844866       9.21723750515       10.7193042837       11.1117835984       9.97183775104       6.89841878223       3.14124764166   
           12   9.9692053942209369e-01   4.5623085741951530e-01   2.8557566673095738e-02   1.9031520211137829e-02   5.6962501675422705e-01   1.4263721068190141e-01   7.6413499405940188e-01    14.3601814602       15.3811136888       15.68361357         14.8473372622       12.6211952146       10.0583034949       6.11087234465       2.72287657366       1.16273930753       4.14758833222       9.09748571581       12.1528861003       13.3175358773       14.4128387873       14.46679672         13.0167012724       10.3637272716       7.42853716596       3.56985665334       1.05139593          0.50047870544       2.55503352971       7.36880956272       10.8324650124       1.41561098655       0.54465518665       0.761244545408      2.85023425979       5.36096186368       7.86802725254       10.0620891585       11.8962515592       12.8113009613       12.6257418148       10.4196970681       4.39861010237       0.579896336301      0.223393557215      0.356607808168      1.83228072818       4.09046351685       6.43561272061       8.35944784178       9.94674178665       10.5678365464       9.48535953819       6.13421501494       2.14469847067   
           13   8.1395696153465125e-01   3.1022741384804248e-01   4.4587010604196359e-01   5.3993424135592905e-01   9.9074339862646799e-01   3.7859240399806632e-01   2.4472541880926921e-01    14.4891306949       15.4836276531       15.795590649        15.167282563        13.2713162781       10.8987694608       7.32871571556       3.78144561469       2.48827295233       5.04758061508       9.41070277928       12.4537162747       13.4857005919       14.5738996242       14.6173914194       13.4674645154       11.0908302482       8.34957160645       4.69076768359       2.04008992749       1.44937246703       3.66017289726       7.8221934288        11.0638827941       2.91270419334       1.4311568276        1.70003042684       4.0970218815        6.78406205212       9.15298190243       11.3271720004       13.024608859        13.9733820963       13.7671604999       12.0567234415       7.50320772278       1.47757099907       0.698917578943      0.955327444679      2.96672517751       5.40624776184       7.63945733436       9.55702438106       11.0096535842       11.6411705716       10.6631617243       7.95442318483       3.99912706009   
           14   5.0818693677761727e-02   5.2360507455055727e-01   8.9864141248898310e-01   7.1895423700500816e-01   3.4756643876899029e-01   8.8228453186872821e-02   5.3095938737304615e-01    14.8035637118       15.851805644        16.1260720042       15.3279406634       13.4929447862       11.2491043865       8.12702167383       4.53830838959       3.36916507703       6.56158675192       10.0421362114       12.8180648861       13.7977005166       14.8431454408       14.8845117829       13.6627513716       11.4150497808       8.83750302664       5.38129088813       2.55741088141       2.07149384285       4.82415960665       8.86214989251       11.518071938        2.93911174286       1.50453539365       1.73246586383       4.24325610463       7.09797554929       9.7211967717        11.9317745458       13.5861274696       14.3546447117       14.0894886855       12.2674382502       7.84024172694       1.53062224624       0.732709815314      0.966810785341      3.062434942         5.69081993816       8.1696690662        10.1326555511       11.5749217256       11.8952632201       10.9014981013       8.15484335307       4.0560947366    
           15   8.8623805242989739e-01   1.1117564957655431e-01   7.3633740590885277e-01   4.3999933816625603e-01   7.7241950749552668e-01   7.6595213899189341e-01   6.3466696599165773e-01    14.5658522933       15.4325050197       15.6773688886       15.0796165589       13.409167208        11.1547924725       7.5501176601        4.34834921772       3.16847024963       6.00370294896       9.76819595244       12.5120712419       13.5550088727       14.4895854645       14.5530572408       13.5104275452       11.3483901809       8.61799981396       5.07935904136       2.54620316396       1.92710700815       4.37653595608       8.40299698393       11.2060245397       3.24439682493       1.46132328317       1.68763001457       4.20570514845       7.06865205517       9.69070842188       11.8737218466       13.4689429492       14.3213292245       14.2379870489       12.8828930588       8.62478062484       1.62545739878       0.70215370763       0.93529309235       2.9964323405        5.64925356883       8.07187572437       10.0062076714       11.3906497807       11.9056121705       11.1078838176       8.70266106406       4.63155275449   
           16   1.0228023120601260e-01   7.2736553358180189e-01   5.5436646475988838e-01   5.0376414575148376e-01   2.8738329089579312e-01   8.2805424507241698e-01   6.9339546417551379e-01    14.7595218834       15.7109570918       16.0120777837       15.4154757392       13.9321696532       11.5993559594       9.14990739242       6.44836490255       5.30069718756       7.90097868648       10.409219146        12.921192343        13.7458716352       14.7524228997       14.8502712784       13.8920962463       11.7544713979       9.31526466227       6.62981215419       4.34071631329       3.82006514096       6.41415590589       9.45480281225       11.6660037259       4.57482682079       2.35976313521       2.56902988554       5.32546932987       8.113436864         10.5265546515       12.5185415425       14.0712782283       14.9711177125       14.752095749        13.3369140683       9.70087681275       2.49092827793       1.27957030725       1.56326761315       4.00703876995       6.65336553297       8.9125810092        10.6070527399       11.956920814        12.5016370143       11.517134455        9.19620315231       5.53905935436   
           17   8.2768855516998363e-01   2.2114171251388531e-01   6.2867920496833640e-01   3.5956806364535748e-01   5.1322268197046861e-01   7.7538626392904131e-01   5.6737113660534044e-01    14.7389856019       15.6494397849       15.9698834121       15.3816387844       13.659254291        11.2183832953       8.43194756816       5.65307247366       4.40912900383       7.10132092422       10.1231926419       12.6987635676       13.7195545223       14.6750952736       14.7494489822       13.6916332557       11.3815525629       8.85543501583       5.94094290238       3.52493135037       2.80552459294       5.54833274184       8.95966173046       11.46225884         3.47801629347       1.80421947438       1.91846948581       4.39910127775       7.10655763141       9.55430223666       11.6459580602       13.2856885226       14.2274601685       14.1606923864       12.5890080997       8.42049428164       1.87813737749       0.906212146749      1.09193657961       3.19927168409       5.69689062103       7.98526638699       9.77195058042       11.2250395342       11.8046275541       11.0304680281       8.54646168596       4.58402402992   
           18   8.6559921885574498e-01   8.6031150705447146e-01   7.9435627270889064e-01   9.8960845272189801e-01   6.3038618446859929e-02   4.5396342982005861e-01   3.6639842910226428e-01    15.2788540681       16.1144280874       16.3994528303       15.8159320801       14.3745694435       12.186438399        9.99798209169       8.02033151181       7.20211905192       9.06774754816       10.9253343258       13.4439617476       14.2426317889       15.1186834429       15.1837315043       14.2927018355       12.3309326846       10.0244613953       7.73755994905       5.84484917039       5.60056479422       7.9009593295        10.0380969281       12.1876163001       7.71106840037       4.58597857732       4.75894186796       7.55850274419       10.5764217583       12.9776533544       14.9010608881       16.3287400323       17.1325960333       16.8423563992       15.6024357252       12.6767409227       4.50964077184       2.85319656741       3.3218712934        6.12823308203       8.93719683683       11.1851671439       12.7914691934       14.0185591339       14.463511023        13.4432665562       11.2467807559       7.97087391198   
           19   2.4184978865087031e-01   3.3087913784131939e-01   5.7082233634511281e-01   8.5955928090760214e-01   2.1012184075412471e-01   4.9228851054795092e-01   1.5117609510530849e-01    15.235576993        16.1060807874       16.4003598503       15.8405374497       14.2461760746       12.1329958766       10.0268094952       7.9718028686        6.94714737249       8.94005370975       10.7424927429       13.3922126801       14.2049879869       15.0825966579       15.1605995872       14.2539078564       12.1984356927       9.93660933806       7.62557032245       5.66162281733       5.28345044374       7.68312652752       9.93398403661       12.1170021222       7.33604810386       4.61584926764       4.8068291838        7.56746027556       10.4323204948       12.7723324925       14.6183603414       15.9951119992       16.7548584699       16.3662256777       15.0713902637       11.9515287444       4.39598709033       2.84077722504       3.31453957104       6.17170257081       8.83408394162       11.050413402        12.5574840137       13.7385049173       14.1418199959       13.0096578989       10.7997283604       7.62385840837   
